,full_sample_ic,n_obs,rolling_ic_mean,rolling_ic_std
SPY,0.014737100039979883,265.0,0.006493201275809972,0.15718605088966983
XLB,0.10190936174054348,265.0,0.06847742152089978,0.13407711210851025
XLE,0.048137711345258516,265.0,-0.003191763191763197,0.19361651757901444
XLF,-0.03825494267400922,265.0,-0.086219014045101,0.1688497871225275
XLI,-0.038420020892712056,265.0,-0.028891500195848026,0.12825259181344884
XLK,0.04411006074362579,265.0,0.04280230541100109,0.17275169169763385
XLP,-0.08199873611988806,265.0,-0.0935426109339153,0.10257801132259867
XLU,-0.08126942570835323,265.0,-0.060838229533881724,0.10800931628339229
XLV,-0.04043320135673662,265.0,-0.05607408650886913,0.16983736822214027
XLY,0.09134757992752035,265.0,0.07141178445526271,0.23368346886983138
