Strategy,sharpe,sortino,maxdd,pct_positive,n_months,ann_return,ann_vol
Ridge_LO_l2,0.801,0.997,-0.4492,0.6528,265,0.135,0.1686
Ridge_LO_l3,0.85,1.099,-0.4361,0.6226,265,0.1318,0.1551
Ridge_LO_l4,0.791,1.024,-0.4371,0.634,265,0.12,0.1518
Ridge_LnS_l3,0.329,0.621,-0.5113,0.5094,265,0.0396,0.1204
Ridge_MX_l3,-0.016,-0.025,-0.712,0.483,265,-0.0026,0.16
Naive_LO_l2,0.645,0.932,-0.4466,0.6226,265,0.0958,0.1486
Naive_LO_l3,0.697,1.017,-0.4546,0.6113,265,0.1008,0.1446
Naive_LO_l4,0.706,0.946,-0.4329,0.634,265,0.1024,0.145
Naive_LnS_l3,-0.076,-0.1,-0.4703,0.5057,265,-0.0094,0.123
Naive_MX_l3,-0.199,-0.294,-0.7566,0.4717,265,-0.0342,0.1721
SPY_BH,0.583,0.813,-0.5078,0.6134,313,0.0893,0.1532
EqualWeight,0.632,0.852,-0.4929,0.639,313,0.0947,0.1499
